combat,time,round,actor,action,target,damage,actor_PV,target_PV
31,2025-11-06T09:28:13.396,2,Jed,skill,Hussin,35,63,47
31,2025-11-06T09:28:13.396,2,Hussin,attack,Jed,54,47,9
31,2025-11-06T09:28:13.397,3,Jed,attack,Hussin,16,9,31
31,2025-11-06T09:28:13.397,3,Hussin,attack,Jed,9,31,0
32,2025-11-06T09:28:13.397,1,Jed,skill,Hussin,35,100,85
32,2025-11-06T09:28:13.398,1,Hussin,attack,Jed,33,85,67
32,2025-11-06T09:28:13.398,2,Jed,skill,Hussin,40,67,45
32,2025-11-06T09:28:13.398,2,Hussin,skill,Jed,65,45,2
32,2025-11-06T09:28:13.399,3,Jed,attack,Hussin,19,2,26
32,2025-11-06T09:28:13.399,3,Hussin,attack,Jed,2,26,0
33,2025-11-06T09:28:13.399,1,Jed,skill,Hussin,36,100,84
33,2025-11-06T09:28:13.399,1,Hussin,attack,Jed,53,84,47
33,2025-11-06T09:28:13.4,2,Jed,skill,Hussin,35,47,49
33,2025-11-06T09:28:13.4,2,Hussin,attack,Jed,33,49,14
33,2025-11-06T09:28:13.401,3,Jed,attack,Hussin,15,14,34
33,2025-11-06T09:28:13.401,3,Hussin,attack,Jed,14,34,0
34,2025-11-06T09:28:13.402,1,Jed,skill,Hussin,38,100,82
34,2025-11-06T09:28:13.402,1,Hussin,attack,Jed,33,82,67
34,2025-11-06T09:28:13.402,2,Jed,skill,Hussin,35,67,47
34,2025-11-06T09:28:13.403,2,Hussin,attack,Jed,29,47,38
34,2025-11-06T09:28:13.403,3,Jed,attack,Hussin,17,38,30
34,2025-11-06T09:28:13.403,3,Hussin,attack,Jed,37,30,1
34,2025-11-06T09:28:13.404,4,Jed,attack,Hussin,21,1,9
34,2025-11-06T09:28:13.404,4,Hussin,attack,Jed,1,9,0
35,2025-11-06T09:28:13.405,1,Jed,skill,Hussin,35,100,85
35,2025-11-06T09:28:13.405,1,Hussin,attack,Jed,27,85,73
35,2025-11-06T09:28:13.405,2,Jed,skill,Hussin,79,73,6
35,2025-11-06T09:28:13.405,2,Hussin,attack,Jed,32,6,41
35,2025-11-06T09:28:13.406,3,Jed,attack,Hussin,6,41,0
36,2025-11-06T09:28:13.407,1,Jed,skill,Hussin,34,100,86
36,2025-11-06T09:28:13.408,1,Hussin,attack,Jed,32,86,68
36,2025-11-06T09:28:13.409,2,Jed,skill,Hussin,36,68,50
36,2025-11-06T09:28:13.409,2,Hussin,skill,Jed,41,50,27
36,2025-11-06T09:28:13.41,3,Jed,attack,Hussin,14,27,36
36,2025-11-06T09:28:13.41,3,Hussin,skill,Jed,27,36,0
37,2025-11-06T09:28:13.41,1,Jed,skill,Hussin,38,100,82
37,2025-11-06T09:28:13.411,1,Hussin,attack,Jed,26,82,74
37,2025-11-06T09:28:13.411,2,Jed,skill,Hussin,68,74,14
37,2025-11-06T09:28:13.412,2,Hussin,skill,Jed,37,14,37
37,2025-11-06T09:28:13.412,3,Jed,attack,Hussin,14,37,0
38,2025-11-06T09:28:13.412,1,Jed,skill,Hussin,36,100,84
